53.789,63.001,90,200,225,231,205,600
53.79,63.002,90,210,230,232,206,600
53.791,63.003,90,200,235,233,207,600
53.792,63.004,90,210,240,234,208,600
53.793,63.005,90,210,245,235,209,600
53.794,63.006,90,212,250,236,210,600
53.795,63.007,90,214,255,237,211,600
53.796,63.008,90,216,250,225,212,600
53.797,63.009,90,218,245,230,213,600
53.798,63.01,90,220,245,235,214,600
53.799,63.011,90,222,245,240,215,600
53.8,63.012,90,224,235,245,216,600
53.801,63.013,90,226,225,250,217,600
53.802,63.014,90,228,215,255,218,600
53.803,63.015,90,230,205,250,219,600
53.804,63.016,90,232,195,245,220,600
53.805,63.017,90,232,185,245,221,600
53.806,63.018,90,232,175,245,222,600
53.807,63.019,90,232,176,235,223,600
53.808,63.02,90,232,177,225,224,600
53.809,63.021,90,232,178,215,225,600
53.81,63.022,90,232,179,205,226,600
53.811,63.023,90,232,180,195,227,600
53.812,63.024,90,222,181,185,228,600
53.813,63.025,90,222,182,175,229,600
53.814,63.026,90,222,183,176,230,600
53.815,63.027,90,221,184,177,231,600
53.816,63.028,90,220,185,178,232,600
53.817,63.029,90,219,186,179,233,600
53.818,63.03,90,218,187,180,234,600
53.819,63.031,90,217,188,181,235,600
53.82,63.032,90,216,189,182,236,600
53.821,63.033,90,215,190,183,237,600
53.822,63.034,90,214,191,184,238,600
53.823,63.035,90,213,192,185,239,600
53.824,63.036,90,212,193,186,240,600
53.825,63.037,90,211,194,187,241,600
53.826,63.038,90,210,195,188,242,600
53.827,63.039,90,209,196,189,243,600
53.828,63.04,90,210,197,190,244,600
53.829,63.041,90,210,198,191,245,600
53.83,63.042,90,210,199,192,246,600
53.831,63.043,90,210,200,193,247,600
53.832,63.044,90,210,201,194,248,600
53.833,63.045,90,210,202,195,249,600
53.834,63.046,90,210,203,196,250,600
53.835,63.047,90,210,204,197,251,600
53.836,63.048,90,210,205,198,252,600
53.837,63.049,90,210,206,199,253,600
53.838,63.05,90,210,207,200,254,600
53.839,63.051,90,210,208,201,255,600
53.84,63.052,90,210,209,202,254,600
53.841,63.053,90,210,210,203,253,600
